order_id;customer_id;order_date;total_amount_idr;shipping_city;shipping_province;shipping_cost_idr;payment_method;order_status;promo_code;discount_amount_idr;courier
ORD000065;CUST0052;18/10/2024;129000;Palembang;Sumatera Selatan;30831;OVO;delivered;;;J&T
ORD000066;CUST0046;05/04/2023;229000;Palembang;Sumatera Selatan;33448;OVO;delivered;;;SiCepat
ORD000067;CUST0472;28/05/2023;387000;Manado;Sulawesi Utara;32542;Kartu Kredit;processing;;;SiCepat
ORD000068;CUST0600;07/12/2022;449000;Pontianak;Kalimantan Barat;41195;Transfer Bank;processing;;;J&T
ORD000069;CUST0321;26/02/2023;129132;Malang;Jawa Timur;20164;Transfer Bank;delivered;RAMADAN23;19868;J&T
ORD000070;CUST0180;17/05/2024;122904;Tangerang;Banten;9347;GoPay;delivered;MEMBER10;26096;J&T
ORD000071;CUST0387;03/06/2023;467921;Depok;Jawa Barat;13226;Transfer Bank;delivered;NEWUSER;31079;J&T
ORD000072;CUST0379;10/06/2024;249000;Manado;Sulawesi Utara;38149;OVO;delivered;;;JNE
ORD000073;CUST0629;12/10/2024;660432;Padang;Sumatera Barat;24278;Kartu Kredit;processing;WEEKEND25;26568;Pos Indonesia
ORD000074;CUST0542;30/09/2022;707000;Semarang;Jawa Tengah;12040;Transfer Bank;shipped;;;Pos Indonesia
ORD000075;CUST0388;17/04/2024;258000;Pontianak;Kalimantan Barat;34548;Transfer Bank;delivered;;;JNE
ORD000076;CUST0315;01/03/2023;1066000;Bogor;Jawa Barat;13438;Kartu Kredit;delivered;;;SiCepat
ORD000077;CUST0400;13/11/2023;319744;Manado;Sulawesi Utara;44292;GoPay;delivered;SALE2024;29256;Anteraja
ORD000078;CUST0197;22/01/2025;1062859;Depok;Jawa Barat;12090;GoPay;processing;RAMADAN23;34141;Anteraja
ORD000079;CUST0248;17/09/2024;530836;Pekanbaru;Riau;26512;GoPay;returned;NEWUSER;24164;J&T
ORD000080;CUST0214;07/02/2025;113515;Denpasar;Bali;29619;GoPay;shipped;HARI BELANJA;44485;J&T
ORD000081;CUST0478;18/02/2024;216431;Palembang;Sumatera Selatan;25254;Transfer Bank;delivered;NEWUSER;12569;SiCepat
ORD000082;CUST0417;03/12/2024;597000;Pontianak;Kalimantan Barat;40474;GoPay;processing;;;J&T
ORD000083;CUST0798;29/09/2024;258000;Yogyakarta;DI Yogyakarta;14514;Transfer Bank;delivered;;;SiCepat
ORD000084;CUST0014;11/07/2023;398000;Depok;Jawa Barat;13074;Transfer Bank;delivered;;;Pos Indonesia
ORD000085;CUST0697;20/06/2023;533274;Bandung;Jawa Barat;11097;Kartu Kredit;delivered;WEEKEND25;44726;SiCepat
ORD000086;CUST0489;19/01/2023;567033;Depok;Jawa Barat;12336;Transfer Bank;processing;MEMBER10;31967;JNE
ORD000087;CUST0346;09/02/2023;647000;Malang;Jawa Timur;15065;GoPay;delivered;;;SiCepat
ORD000088;CUST0762;04/12/2022;757000;Balikpapan;Kalimantan Timur;32110;GoPay;processing;;;Anteraja
ORD000089;CUST0782;22/03/2022;657000;Denpasar;Bali;25249;QRIS;delivered;;;Pos Indonesia
ORD000090;CUST0188;16/02/2023;639659;Padang;Sumatera Barat;31950;GoPay;delivered;MEMBER10;46341;Anteraja
ORD000091;CUST0006;25/08/2024;478000;Makassar;Sulawesi Selatan;34889;Transfer Bank;cancelled;;;Anteraja
ORD000092;CUST0630;04/01/2024;825967;Bandung;Jawa Barat;13698;OVO;delivered;SALE2024;11033;SiCepat
ORD000093;CUST0732;19/02/2025;637000;Depok;Jawa Barat;13897;OVO;shipped;;;SiCepat
ORD000094;CUST0658;24/10/2024;1327000;Banjarmasin;Kalimantan Selatan;39112;Kartu Kredit;cancelled;;;JNE
ORD000095;CUST0583;19/06/2023;207000;Medan;Sumatera Utara;25348;Kartu Kredit;cancelled;;;J&T
ORD000096;CUST0229;25/03/2023;328000;Depok;Jawa Barat;13619;OVO;cancelled;;;J&T
ORD000097;CUST0428;21/01/2025;499000;Manado;Sulawesi Utara;44276;Transfer Bank;delivered;;;Pos Indonesia
ORD000098;CUST0371;05/09/2024;1114630;Bandung;Jawa Barat;14596;Kartu Kredit;processing;WEEKEND25;32370;Pos Indonesia
ORD000099;CUST0031;13/03/2024;134229;Pontianak;Kalimantan Barat;33877;GoPay;delivered;WEEKEND25;14771;SiCepat
ORD000100;CUST0222;26/08/2022;649499;Manado;Sulawesi Utara;43010;Kartu Kredit;cancelled;NEWUSER;27501;SiCepat
ORD000101;CUST0409;19/04/2024;657000;Bekasi;Jawa Barat;11545;Kartu Kredit;delivered;;;Anteraja
ORD000102;CUST0399;04/01/2022;941751;Depok;Jawa Barat;13127;Transfer Bank;delivered;MEMBER10;15249;JNE
ORD000103;CUST0301;28/02/2024;473549;Tangerang;Banten;9445;GoPay;processing;FLASHSALE;24451;Anteraja
ORD000104;CUST0653;29/01/2023;657000;Denpasar;Bali;27253;OVO;delivered;;;JNE
ORD000105;CUST0095;24/08/2024;697000;Yogyakarta;DI Yogyakarta;16884;QRIS;cancelled;;;Pos Indonesia
ORD000106;CUST0270;07/04/2022;199000;Semarang;Jawa Tengah;13901;Transfer Bank;delivered;;;Anteraja
ORD000107;CUST0411;30/09/2022;268000;Surabaya;Jawa Timur;12087;Transfer Bank;returned;;;Anteraja
ORD000108;CUST0244;11/11/2024;129000;Yogyakarta;DI Yogyakarta;17061;GoPay;returned;;;J&T
ORD000109;CUST0304;02/10/2023;99000;Surabaya;Jawa Timur;13381;Kartu Kredit;delivered;;;JNE
ORD000110;CUST0442;08/01/2023;158000;Palembang;Sumatera Selatan;33174;Transfer Bank;delivered;;;J&T
ORD000111;CUST0512;30/03/2024;516000;Semarang;Jawa Tengah;12114;Kartu Kredit;shipped;;;Anteraja
ORD000112;CUST0587;27/12/2024;1095000;Malang;Jawa Timur;19990;OVO;delivered;;;SiCepat
ORD000113;CUST0327;08/06/2023;926000;Denpasar;Bali;27366;QRIS;delivered;;;SiCepat
ORD000114;CUST0717;08/08/2022;275109;Banjarmasin;Kalimantan Selatan;40777;Kartu Kredit;cancelled;NEWUSER;32891;JNE
ORD000115;CUST0336;13/02/2024;549000;Jakarta;DKI Jakarta;10701;GoPay;processing;;;J&T
ORD000116;CUST0154;21/09/2024;398000;Palembang;Sumatera Selatan;24854;Transfer Bank;delivered;;;J&T
ORD000117;CUST0571;09/11/2024;229000;Manado;Sulawesi Utara;42214;OVO;delivered;;;J&T
ORD000118;CUST0339;23/10/2024;266041;Semarang;Jawa Tengah;17425;Kartu Kredit;delivered;FLASHSALE;49959;SiCepat
ORD000119;CUST0525;21/02/2024;977668;Bogor;Jawa Barat;12840;GoPay;delivered;WEEKEND25;39332;J&T
ORD000120;CUST0400;25/09/2023;199000;Yogyakarta;DI Yogyakarta;13214;QRIS;delivered;;;J&T
ORD000121;CUST0473;16/09/2023;955632;Banjarmasin;Kalimantan Selatan;30456;Kartu Kredit;delivered;NEWUSER;42368;J&T
ORD000122;CUST0768;18/11/2022;857000;Denpasar;Bali;28591;Transfer Bank;shipped;;;SiCepat
ORD000123;CUST0370;13/07/2024;83455;Palembang;Sumatera Selatan;27437;OVO;delivered;FLASHSALE;34545;JNE
ORD000124;CUST0275;13/09/2023;163351;Bandung;Jawa Barat;13228;Transfer Bank;delivered;MEMBER10;35649;SiCepat
ORD000125;CUST0228;18/04/2024;148000;Manado;Sulawesi Utara;33689;GoPay;delivered;;;JNE
ORD000126;CUST0495;13/06/2023;801305;Manado;Sulawesi Utara;41428;Transfer Bank;cancelled;RAMADAN23;46695;JNE
ORD000127;CUST0728;01/06/2023;258000;Pekanbaru;Riau;30502;Transfer Bank;delivered;;;Anteraja
ORD000128;CUST0295;01/04/2024;1052821;Manado;Sulawesi Utara;42291;OVO;cancelled;NEWUSER;44179;Anteraja
ORD000129;CUST0722;09/04/2023;49000;Jakarta;DKI Jakarta;8352;Kartu Kredit;delivered;;;J&T
ORD000130;CUST0208;06/12/2022;328191;Manado;Sulawesi Utara;35513;Kartu Kredit;delivered;MEMBER10;19809;SiCepat
ORD000131;CUST0714;10/02/2024;418000;Bandung;Jawa Barat;10288;Kartu Kredit;delivered;;;J&T
ORD000132;CUST0135;09/01/2024;138000;Makassar;Sulawesi Selatan;33850;Kartu Kredit;delivered;;;Anteraja
ORD000133;CUST0571;14/07/2024;483563;Manado;Sulawesi Utara;37315;Kartu Kredit;delivered;FLASHSALE;43437;J&T
ORD000134;CUST0346;18/02/2025;433562;Medan;Sumatera Utara;37007;OVO;returned;RAMADAN23;15438;SiCepat
ORD000135;CUST0710;01/06/2023;349000;Manado;Sulawesi Utara;32102;Kartu Kredit;delivered;;;SiCepat
ORD000136;CUST0075;21/01/2025;132592;Medan;Sumatera Utara;38095;GoPay;delivered;WEEKEND25;46408;JNE
ORD000137;CUST0756;10/02/2023;694000;Surabaya;Jawa Timur;16258;GoPay;delivered;;;J&T
ORD000138;CUST0653;31/12/2024;1105671;Denpasar;Bali;26771;Transfer Bank;delivered;NEWUSER;21329;J&T
ORD000139;CUST0725;24/02/2024;406000;Makassar;Sulawesi Selatan;43702;Transfer Bank;delivered;;;JNE
ORD000140;CUST0426;07/03/2023;16057;Makassar;Sulawesi Selatan;37588;GoPay;delivered;SALE2024;32943;SiCepat
ORD000141;CUST0492;24/05/2023;298000;Balikpapan;Kalimantan Timur;40284;Transfer Bank;delivered;;;JNE
ORD000142;CUST0686;29/07/2024;1347000;Semarang;Jawa Tengah;13975;OVO;delivered;;;J&T
ORD000143;CUST0180;07/11/2022;687000;Tangerang;Banten;10779;QRIS;shipped;;;Pos Indonesia
ORD000144;CUST0759;31/03/2023;461976;Malang;Jawa Timur;17498;Kartu Kredit;shipped;FLASHSALE;26024;J&T
ORD000145;CUST0592;07/09/2024;399000;Bandung;Jawa Barat;12523;Transfer Bank;delivered;;;SiCepat
ORD000146;CUST0297;19/01/2023;1377000;Banjarmasin;Kalimantan Selatan;32159;OVO;returned;;;J&T
ORD000147;CUST0597;19/03/2023;528000;Bogor;Jawa Barat;10572;Transfer Bank;delivered;;;SiCepat
ORD000148;CUST0335;30/09/2022;49000;Yogyakarta;DI Yogyakarta;14070;Transfer Bank;processing;;;SiCepat
ORD000149;CUST0056;02/03/2024;129000;Denpasar;Bali;29080;GoPay;processing;;;SiCepat
ORD000150;CUST0358;24/12/2024;632626;Bekasi;Jawa Barat;12049;OVO;delivered;WEEKEND25;15374;JNE
ORD000151;CUST0587;11/10/2024;1166000;Malang;Jawa Timur;14544;GoPay;cancelled;;;Pos Indonesia
ORD000152;CUST0601;01/11/2024;558000;Jakarta;DKI Jakarta;8814;GoPay;shipped;;;SiCepat
ORD000153;CUST0482;19/11/2022;62123;Bandung;Jawa Barat;14986;QRIS;delivered;HARI BELANJA;36877;JNE
ORD000154;CUST0478;02/03/2024;1058739;Palembang;Sumatera Selatan;34638;OVO;delivered;HARBOLNAS22;39261;JNE
ORD000155;CUST0140;24/11/2024;203863;Padang;Sumatera Barat;28074;Transfer Bank;shipped;NEWUSER;45137;SiCepat
ORD000156;CUST0014;21/08/2024;329000;Malang;Jawa Timur;20362;GoPay;delivered;;;SiCepat
ORD000157;CUST0700;05/09/2023;349000;Jakarta;DKI Jakarta;10361;OVO;returned;;;JNE
ORD000158;CUST0199;12/06/2024;1405000;Semarang;Jawa Tengah;12540;Kartu Kredit;shipped;;;JNE
ORD000159;CUST0235;05/01/2025;528766;Tangerang;Banten;12472;QRIS;delivered;RAMADAN23;20234;J&T
ORD000160;CUST0027;30/08/2022;69000;Pontianak;Kalimantan Barat;30017;GoPay;delivered;;;JNE
ORD000161;CUST0454;14/02/2024;118504;Makassar;Sulawesi Selatan;39679;Transfer Bank;delivered;SALE2024;10496;JNE
ORD000162;CUST0228;02/05/2024;541623;Malang;Jawa Timur;15021;Transfer Bank;delivered;FLASHSALE;34377;Anteraja
ORD000163;CUST0292;31/03/2023;329000;Tangerang;Banten;12928;Kartu Kredit;delivered;;;SiCepat
ORD000164;CUST0788;04/09/2022;179000;Semarang;Jawa Tengah;12218;Kartu Kredit;shipped;;;J&T
ORD000165;CUST0093;17/07/2023;199000;Bandung;Jawa Barat;10107;GoPay;processing;;;SiCepat
ORD000166;CUST0111;15/01/2025;349000;Pontianak;Kalimantan Barat;36329;Transfer Bank;delivered;;;JNE
ORD000167;CUST0295;09/09/2023;239718;Manado;Sulawesi Utara;35268;Kartu Kredit;delivered;FLASHSALE;39282;SiCepat
ORD000168;CUST0437;09/10/2024;897000;Pekanbaru;Riau;25351;Transfer Bank;delivered;;;JNE
ORD000169;CUST0261;14/07/2024;346000;Bandung;Jawa Barat;12893;OVO;delivered;;;SiCepat
ORD000170;CUST0436;21/06/2022;41785;Balikpapan;Kalimantan Timur;42371;Transfer Bank;delivered;HARBOLNAS22;27215;J&T
ORD000171;CUST0600;03/09/2023;385229;Manado;Sulawesi Utara;44407;OVO;shipped;SALE2024;12771;SiCepat
ORD000172;CUST0262;02/09/2024;387000;Malang;Jawa Timur;19296;Kartu Kredit;processing;;;Anteraja
ORD000173;CUST0664;19/08/2022;658000;Balikpapan;Kalimantan Timur;31970;Kartu Kredit;delivered;;;J&T
ORD000174;CUST0153;31/05/2023;178000;Pontianak;Kalimantan Barat;35862;OVO;delivered;;;SiCepat
ORD000175;CUST0606;19/10/2024;238000;Pontianak;Kalimantan Barat;35308;Kartu Kredit;delivered;;;SiCepat
ORD000176;CUST0143;02/08/2022;229000;Medan;Sumatera Utara;38431;QRIS;processing;;;JNE
ORD000177;CUST0646;09/11/2024;129000;Malang;Jawa Timur;21625;QRIS;delivered;;;Pos Indonesia
ORD000178;CUST0586;29/09/2024;599000;Manado;Sulawesi Utara;39349;QRIS;cancelled;;;JNE
ORD000179;CUST0641;30/05/2024;556000;Medan;Sumatera Utara;25500;Kartu Kredit;cancelled;;;Pos Indonesia
ORD000180;CUST0365;30/12/2024;548000;Padang;Sumatera Barat;31214;QRIS;delivered;;;Anteraja
ORD000181;CUST0485;27/03/2024;508000;Malang;Jawa Timur;18615;Transfer Bank;delivered;;;JNE
ORD000182;CUST0277;22/10/2024;281050;Malang;Jawa Timur;21404;GoPay;delivered;RAMADAN23;26950;SiCepat
ORD000183;CUST0091;04/07/2024;365798;Makassar;Sulawesi Selatan;30721;GoPay;delivered;WEEKEND25;33202;JNE
ORD000184;CUST0110;19/08/2024;806000;Bogor;Jawa Barat;13261;Transfer Bank;shipped;;;Anteraja
ORD000185;CUST0273;05/05/2023;90964;Yogyakarta;DI Yogyakarta;13095;Transfer Bank;delivered;WEEKEND25;28036;J&T
ORD000186;CUST0556;17/01/2024;316552;Palembang;Sumatera Selatan;26356;GoPay;delivered;HARI BELANJA;49448;J&T
ORD000187;CUST0590;20/01/2022;1262864;Bandung;Jawa Barat;12456;Transfer Bank;returned;NEWUSER;41136;JNE
ORD000188;CUST0737;11/01/2023;258000;Malang;Jawa Timur;16036;Transfer Bank;delivered;;;J&T
ORD000189;CUST0170;25/05/2023;1177000;Bekasi;Jawa Barat;10184;Transfer Bank;shipped;;;J&T
ORD000190;CUST0065;16/12/2023;716741;Bandung;Jawa Barat;14225;Transfer Bank;delivered;WEEKEND25;40259;J&T
ORD000191;CUST0565;03/05/2022;606000;Banjarmasin;Kalimantan Selatan;34778;GoPay;returned;;;SiCepat
ORD000192;CUST0255;13/10/2024;329000;Medan;Sumatera Utara;34003;GoPay;cancelled;;;J&T
ORD000193;CUST0322;04/01/2024;1327000;Banjarmasin;Kalimantan Selatan;30208;OVO;shipped;;;JNE
ORD000194;CUST0046;16/02/2023;558000;Malang;Jawa Timur;19593;OVO;delivered;;;J&T
ORD000195;CUST0727;17/02/2024;207274;Semarang;Jawa Tengah;14684;GoPay;delivered;MEMBER10;21726;J&T
ORD000196;CUST0049;13/07/2023;151821;Manado;Sulawesi Utara;36488;Kartu Kredit;shipped;WEEKEND25;27179;J&T
ORD000197;CUST0166;11/05/2022;333535;Tangerang;Banten;11983;GoPay;delivered;FLASHSALE;24465;J&T
ORD000198;CUST0197;01/10/2024;727000;Depok;Jawa Barat;10986;Kartu Kredit;delivered;;;SiCepat
ORD000199;CUST0619;30/04/2024;99000;Yogyakarta;DI Yogyakarta;18691;QRIS;delivered;;;Anteraja
ORD000200;CUST0463;23/08/2023;532952;Jakarta;DKI Jakarta;9272;GoPay;processing;RAMADAN23;16048;SiCepat
ORD000201;CUST0382;18/02/2025;1066000;Bandung;Jawa Barat;13180;QRIS;delivered;;;Anteraja
ORD000202;CUST0507;07/01/2025;656000;Yogyakarta;DI Yogyakarta;17733;OVO;cancelled;;;J&T
ORD000203;CUST0270;26/11/2024;748000;Semarang;Jawa Tengah;13206;OVO;cancelled;;;JNE
ORD000204;CUST0748;02/09/2023;36006;Denpasar;Bali;25740;QRIS;shipped;NEWUSER;42994;J&T
ORD000205;CUST0333;26/06/2024;399000;Palembang;Sumatera Selatan;26396;Transfer Bank;shipped;;;J&T
ORD000206;CUST0758;28/04/2022;329000;Medan;Sumatera Utara;27292;QRIS;delivered;;;SiCepat
ORD000207;CUST0504;24/10/2024;249000;Bandung;Jawa Barat;13692;GoPay;processing;;;SiCepat
ORD000208;CUST0171;07/01/2023;69237;Balikpapan;Kalimantan Timur;38829;GoPay;delivered;RAMADAN23;49763;JNE
ORD000209;CUST0397;09/01/2025;754974;Balikpapan;Kalimantan Timur;40409;Transfer Bank;delivered;NEWUSER;30026;Pos Indonesia
ORD000210;CUST0013;26/12/2022;316368;Makassar;Sulawesi Selatan;31701;GoPay;shipped;WEEKEND25;32632;J&T
ORD000211;CUST0177;30/05/2023;458000;Bekasi;Jawa Barat;11944;Transfer Bank;delivered;;;SiCepat
ORD000212;CUST0487;15/04/2024;757000;Medan;Sumatera Utara;34051;Transfer Bank;shipped;;;SiCepat
ORD000213;CUST0552;19/10/2024;366000;Padang;Sumatera Barat;33606;GoPay;processing;;;Anteraja
ORD000214;CUST0137;09/02/2024;531514;Makassar;Sulawesi Selatan;34158;GoPay;delivered;NEWUSER;46486;JNE
ORD000215;CUST0665;06/08/2023;425000;Surabaya;Jawa Timur;13951;OVO;delivered;;;Pos Indonesia
ORD000216;CUST0177;30/09/2024;537934;Bekasi;Jawa Barat;13735;OVO;delivered;HARBOLNAS22;11066;JNE
ORD000217;CUST0065;15/07/2024;228000;Pekanbaru;Riau;23877;Transfer Bank;delivered;;;SiCepat
ORD000218;CUST0303;26/07/2023;1215000;Surabaya;Jawa Timur;12505;QRIS;delivered;;;J&T
ORD000219;CUST0785;05/11/2024;698000;Balikpapan;Kalimantan Timur;35068;GoPay;returned;;;J&T
ORD000220;CUST0469;30/07/2024;697000;Surabaya;Jawa Timur;15031;Kartu Kredit;delivered;;;J&T
ORD000221;CUST0048;13/11/2023;49000;Pekanbaru;Riau;23507;Transfer Bank;cancelled;;;J&T
ORD000222;CUST0231;26/01/2025;378000;Makassar;Sulawesi Selatan;35307;Transfer Bank;shipped;;;Anteraja
ORD000223;CUST0779;18/07/2023;367000;Medan;Sumatera Utara;34076;Transfer Bank;delivered;;;J&T
ORD000224;CUST0553;17/09/2023;277164;Manado;Sulawesi Utara;33938;GoPay;returned;WEEKEND25;21836;SiCepat
ORD000225;CUST0372;19/02/2023;685000;Bandung;Jawa Barat;13088;Transfer Bank;delivered;;;JNE
ORD000226;CUST0192;03/05/2023;2295000;Bandung;Jawa Barat;10047;Kartu Kredit;returned;;;J&T
ORD000227;CUST0468;22/02/2023;229972;Surabaya;Jawa Timur;15999;Transfer Bank;shipped;WEEKEND25;19028;SiCepat
ORD000228;CUST0447;05/03/2023;188000;Palembang;Sumatera Selatan;29823;GoPay;delivered;;;J&T
ORD000229;CUST0355;16/06/2024;318000;Surabaya;Jawa Timur;14612;GoPay;delivered;;;JNE
ORD000230;CUST0752;13/11/2022;1176360;Palembang;Sumatera Selatan;33536;Kartu Kredit;delivered;HARI BELANJA;21640;Pos Indonesia
